fecha_consulta,tipo_interes,valor,unidad,frecuencia,fuente
2025-06-18,Moneda Nacional (TAMN+2),17.04,porcentaje,anual,SBS
2025-06-18,Moneda Extranjera (TAMEX),9.69,porcentaje,anual,SBS
2025-06-19,Moneda Nacional (TAMN),15.04,porcentaje,anual,SBS
2025-06-19,Moneda Nacional (TAMN+1),16.04,porcentaje,anual,SBS
2025-06-19,Moneda Nacional (TAMN+2),17.04,porcentaje,anual,SBS
2025-06-19,Moneda Extranjera (TAMEX),9.69,porcentaje,anual,SBS
2025-06-20,Moneda Nacional (TAMN),15.01,porcentaje,anual,SBS
2025-06-20,Moneda Nacional (TAMN+1),16.01,porcentaje,anual,SBS
2025-06-20,Moneda Nacional (TAMN+2),17.01,porcentaje,anual,SBS
2025-06-20,Moneda Extranjera (TAMEX),9.62,porcentaje,anual,SBS
2025-06-21,Moneda Nacional (TAMN),14.97,porcentaje,anual,SBS
2025-06-21,Moneda Nacional (TAMN+1),15.97,porcentaje,anual,SBS
2025-06-21,Moneda Nacional (TAMN+2),16.97,porcentaje,anual,SBS
2025-06-21,Moneda Extranjera (TAMEX),9.6,porcentaje,anual,SBS
2025-06-22,Moneda Nacional (TAMN),14.97,porcentaje,anual,SBS
2025-06-22,Moneda Nacional (TAMN+1),15.97,porcentaje,anual,SBS
2025-06-22,Moneda Nacional (TAMN+2),16.97,porcentaje,anual,SBS
2025-06-22,Moneda Extranjera (TAMEX),9.6,porcentaje,anual,SBS
2025-06-23,Moneda Nacional (TAMN),14.97,porcentaje,anual,SBS
2025-06-23,Moneda Nacional (TAMN+1),15.97,porcentaje,anual,SBS
2025-06-23,Moneda Nacional (TAMN+2),16.97,porcentaje,anual,SBS
2025-06-23,Moneda Extranjera (TAMEX),9.6,porcentaje,anual,SBS
2025-06-24,Moneda Nacional (TAMN),14.91,porcentaje,anual,SBS
2025-06-24,Moneda Nacional (TAMN+1),15.91,porcentaje,anual,SBS
2025-06-24,Moneda Nacional (TAMN+2),16.91,porcentaje,anual,SBS
2025-06-24,Moneda Extranjera (TAMEX),9.55,porcentaje,anual,SBS
2025-06-25,Moneda Nacional (TAMN),14.98,porcentaje,anual,SBS
2025-06-25,Moneda Nacional (TAMN+1),15.98,porcentaje,anual,SBS
2025-06-25,Moneda Nacional (TAMN+2),16.98,porcentaje,anual,SBS
2025-06-25,Moneda Extranjera (TAMEX),9.64,porcentaje,anual,SBS
2025-06-26,Moneda Nacional (TAMN),14.99,porcentaje,anual,SBS
2025-06-26,Moneda Nacional (TAMN+1),15.99,porcentaje,anual,SBS
2025-06-26,Moneda Nacional (TAMN+2),16.99,porcentaje,anual,SBS
2025-06-26,Moneda Extranjera (TAMEX),9.66,porcentaje,anual,SBS
2025-06-27,Moneda Nacional (TAMN),15.06,porcentaje,anual,SBS
2025-06-27,Moneda Nacional (TAMN+1),16.06,porcentaje,anual,SBS
2025-06-27,Moneda Nacional (TAMN+2),17.06,porcentaje,anual,SBS
2025-06-27,Moneda Extranjera (TAMEX),9.67,porcentaje,anual,SBS
2025-06-28,Moneda Nacional (TAMN),15.06,porcentaje,anual,SBS
2025-06-28,Moneda Nacional (TAMN+1),16.06,porcentaje,anual,SBS
2025-06-28,Moneda Nacional (TAMN+2),17.06,porcentaje,anual,SBS
2025-06-28,Moneda Extranjera (TAMEX),9.65,porcentaje,anual,SBS
2025-06-29,Moneda Nacional (TAMN),15.06,porcentaje,anual,SBS
2025-06-29,Moneda Nacional (TAMN+1),16.06,porcentaje,anual,SBS
2025-06-29,Moneda Nacional (TAMN+2),17.06,porcentaje,anual,SBS
2025-06-29,Moneda Extranjera (TAMEX),9.65,porcentaje,anual,SBS
2025-06-30,Moneda Nacional (TAMN),15.06,porcentaje,anual,SBS
2025-06-30,Moneda Nacional (TAMN+1),16.06,porcentaje,anual,SBS
2025-06-30,Moneda Nacional (TAMN+2),17.06,porcentaje,anual,SBS
2025-06-30,Moneda Extranjera (TAMEX),9.65,porcentaje,anual,SBS
2025-07-01,Moneda Nacional (TAMN),15.13,porcentaje,anual,SBS
2025-07-01,Moneda Nacional (TAMN+1),16.13,porcentaje,anual,SBS
2025-07-01,Moneda Nacional (TAMN+2),17.13,porcentaje,anual,SBS
2025-07-01,Moneda Extranjera (TAMEX),9.69,porcentaje,anual,SBS
2025-07-02,Moneda Nacional (TAMN),15.81,porcentaje,anual,SBS
2025-07-02,Moneda Nacional (TAMN+1),16.81,porcentaje,anual,SBS
2025-07-02,Moneda Nacional (TAMN+2),17.81,porcentaje,anual,SBS
2025-07-02,Moneda Extranjera (TAMEX),10.12,porcentaje,anual,SBS
2025-07-03,Moneda Nacional (TAMN),15.21,porcentaje,anual,SBS
2025-07-03,Moneda Nacional (TAMN+1),16.21,porcentaje,anual,SBS
2025-07-03,Moneda Nacional (TAMN+2),17.21,porcentaje,anual,SBS
2025-07-03,Moneda Extranjera (TAMEX),9.71,porcentaje,anual,SBS
2025-07-04,Moneda Nacional (TAMN),15.18,porcentaje,anual,SBS
2025-07-04,Moneda Nacional (TAMN+1),16.18,porcentaje,anual,SBS
2025-07-04,Moneda Nacional (TAMN+2),17.18,porcentaje,anual,SBS
2025-07-04,Moneda Extranjera (TAMEX),9.68,porcentaje,anual,SBS
2025-07-05,Moneda Nacional (TAMN),15.19,porcentaje,anual,SBS
2025-07-05,Moneda Nacional (TAMN+1),16.19,porcentaje,anual,SBS
2025-07-05,Moneda Nacional (TAMN+2),17.19,porcentaje,anual,SBS
2025-07-05,Moneda Extranjera (TAMEX),9.7,porcentaje,anual,SBS
2025-07-06,Moneda Nacional (TAMN),15.19,porcentaje,anual,SBS
2025-07-06,Moneda Nacional (TAMN+1),16.19,porcentaje,anual,SBS
2025-07-06,Moneda Nacional (TAMN+2),17.19,porcentaje,anual,SBS
2025-07-06,Moneda Extranjera (TAMEX),9.7,porcentaje,anual,SBS
2025-07-07,Moneda Nacional (TAMN),15.19,porcentaje,anual,SBS
2025-07-07,Moneda Nacional (TAMN+1),16.19,porcentaje,anual,SBS
2025-07-07,Moneda Nacional (TAMN+2),17.19,porcentaje,anual,SBS
2025-07-07,Moneda Extranjera (TAMEX),9.7,porcentaje,anual,SBS
2025-07-08,Moneda Nacional (TAMN),15.18,porcentaje,anual,SBS
2025-07-08,Moneda Nacional (TAMN+1),16.18,porcentaje,anual,SBS
2025-07-08,Moneda Nacional (TAMN+2),17.18,porcentaje,anual,SBS
2025-07-08,Moneda Extranjera (TAMEX),9.68,porcentaje,anual,SBS
2025-07-09,Moneda Nacional (TAMN),15.11,porcentaje,anual,SBS
2025-07-09,Moneda Nacional (TAMN+1),16.11,porcentaje,anual,SBS
2025-07-09,Moneda Nacional (TAMN+2),17.11,porcentaje,anual,SBS
2025-07-09,Moneda Extranjera (TAMEX),9.61,porcentaje,anual,SBS
2025-07-10,Moneda Nacional (TAMN),15.08,porcentaje,anual,SBS
2025-07-10,Moneda Nacional (TAMN+1),16.08,porcentaje,anual,SBS
2025-07-10,Moneda Nacional (TAMN+2),17.08,porcentaje,anual,SBS
2025-07-10,Moneda Extranjera (TAMEX),9.64,porcentaje,anual,SBS
2025-07-11,Moneda Nacional (TAMN),15.09,porcentaje,anual,SBS
2025-07-11,Moneda Nacional (TAMN+1),16.09,porcentaje,anual,SBS
2025-07-11,Moneda Nacional (TAMN+2),17.09,porcentaje,anual,SBS
2025-07-11,Moneda Extranjera (TAMEX),9.65,porcentaje,anual,SBS
2025-07-12,Moneda Nacional (TAMN),15.06,porcentaje,anual,SBS
2025-07-12,Moneda Nacional (TAMN+1),16.06,porcentaje,anual,SBS
2025-07-12,Moneda Nacional (TAMN+2),17.06,porcentaje,anual,SBS
2025-07-12,Moneda Extranjera (TAMEX),9.66,porcentaje,anual,SBS
2025-07-13,Moneda Nacional (TAMN),15.06,porcentaje,anual,SBS
2025-07-13,Moneda Nacional (TAMN+1),16.06,porcentaje,anual,SBS
2025-07-13,Moneda Nacional (TAMN+2),17.06,porcentaje,anual,SBS
2025-07-13,Moneda Extranjera (TAMEX),9.66,porcentaje,anual,SBS
2025-07-14,Moneda Nacional (TAMN),15.06,porcentaje,anual,SBS
2025-07-14,Moneda Nacional (TAMN+1),16.06,porcentaje,anual,SBS
2025-07-14,Moneda Nacional (TAMN+2),17.06,porcentaje,anual,SBS
2025-07-14,Moneda Extranjera (TAMEX),9.66,porcentaje,anual,SBS
2025-07-15,Moneda Nacional (TAMN),15.07,porcentaje,anual,SBS
2025-07-15,Moneda Nacional (TAMN+1),16.07,porcentaje,anual,SBS
2025-07-15,Moneda Nacional (TAMN+2),17.07,porcentaje,anual,SBS
2025-07-15,Moneda Extranjera (TAMEX),9.66,porcentaje,anual,SBS
2025-07-16,Moneda Nacional (TAMN),15.08,porcentaje,anual,SBS
2025-07-16,Moneda Nacional (TAMN+1),16.08,porcentaje,anual,SBS
2025-07-16,Moneda Nacional (TAMN+2),17.08,porcentaje,anual,SBS
2025-07-16,Moneda Extranjera (TAMEX),9.64,porcentaje,anual,SBS
2025-07-17,Moneda Nacional (TAMN),15.02,porcentaje,anual,SBS
2025-07-17,Moneda Nacional (TAMN+1),16.02,porcentaje,anual,SBS
2025-07-17,Moneda Nacional (TAMN+2),17.02,porcentaje,anual,SBS
2025-07-17,Moneda Extranjera (TAMEX),9.66,porcentaje,anual,SBS
2025-07-18,Moneda Nacional (TAMN),14.96,porcentaje,anual,SBS
2025-07-18,Moneda Nacional (TAMN+1),15.96,porcentaje,anual,SBS
2025-07-18,Moneda Nacional (TAMN+2),16.96,porcentaje,anual,SBS
2025-07-18,Moneda Extranjera (TAMEX),9.6,porcentaje,anual,SBS
2025-07-19,Moneda Nacional (TAMN),14.9,porcentaje,anual,SBS
2025-07-19,Moneda Nacional (TAMN+1),15.9,porcentaje,anual,SBS
2025-07-19,Moneda Nacional (TAMN+2),16.9,porcentaje,anual,SBS
2025-07-19,Moneda Extranjera (TAMEX),9.6,porcentaje,anual,SBS
2025-07-20,Moneda Nacional (TAMN),14.9,porcentaje,anual,SBS
2025-07-20,Moneda Nacional (TAMN+1),15.9,porcentaje,anual,SBS
2025-07-20,Moneda Nacional (TAMN+2),16.9,porcentaje,anual,SBS
2025-07-20,Moneda Extranjera (TAMEX),9.6,porcentaje,anual,SBS
2025-07-21,Moneda Nacional (TAMN),14.9,porcentaje,anual,SBS
2025-07-21,Moneda Nacional (TAMN+1),15.9,porcentaje,anual,SBS
2025-07-21,Moneda Nacional (TAMN+2),16.9,porcentaje,anual,SBS
2025-07-21,Moneda Extranjera (TAMEX),9.6,porcentaje,anual,SBS
2025-07-22,Moneda Nacional (TAMN),14.92,porcentaje,anual,SBS
2025-07-22,Moneda Nacional (TAMN+1),15.92,porcentaje,anual,SBS
2025-07-22,Moneda Nacional (TAMN+2),16.92,porcentaje,anual,SBS
2025-07-22,Moneda Extranjera (TAMEX),9.65,porcentaje,anual,SBS
2025-07-23,Moneda Nacional (TAMN),14.86,porcentaje,anual,SBS
2025-07-23,Moneda Nacional (TAMN+1),15.86,porcentaje,anual,SBS
2025-07-23,Moneda Nacional (TAMN+2),16.86,porcentaje,anual,SBS
2025-07-23,Moneda Extranjera (TAMEX),9.58,porcentaje,anual,SBS
2025-07-24,Moneda Nacional (TAMN),14.86,porcentaje,anual,SBS
2025-07-24,Moneda Nacional (TAMN+1),15.86,porcentaje,anual,SBS
2025-07-24,Moneda Nacional (TAMN+2),16.86,porcentaje,anual,SBS
2025-07-24,Moneda Extranjera (TAMEX),9.58,porcentaje,anual,SBS
2025-07-25,Moneda Nacional (TAMN),14.87,porcentaje,anual,SBS
2025-07-25,Moneda Nacional (TAMN+1),15.87,porcentaje,anual,SBS
2025-07-25,Moneda Nacional (TAMN+2),16.87,porcentaje,anual,SBS
2025-07-25,Moneda Extranjera (TAMEX),9.63,porcentaje,anual,SBS
2025-07-26,Moneda Nacional (TAMN),14.9,porcentaje,anual,SBS
2025-07-26,Moneda Nacional (TAMN+1),15.9,porcentaje,anual,SBS
2025-07-26,Moneda Nacional (TAMN+2),16.9,porcentaje,anual,SBS
2025-07-26,Moneda Extranjera (TAMEX),9.69,porcentaje,anual,SBS
2025-07-27,Moneda Nacional (TAMN),14.9,porcentaje,anual,SBS
2025-07-27,Moneda Nacional (TAMN+1),15.9,porcentaje,anual,SBS
2025-07-27,Moneda Nacional (TAMN+2),16.9,porcentaje,anual,SBS
2025-07-27,Moneda Extranjera (TAMEX),9.69,porcentaje,anual,SBS
2025-07-28,Moneda Nacional (TAMN),14.9,porcentaje,anual,SBS
2025-07-28,Moneda Nacional (TAMN+1),15.9,porcentaje,anual,SBS
2025-07-28,Moneda Nacional (TAMN+2),16.9,porcentaje,anual,SBS
2025-07-28,Moneda Extranjera (TAMEX),9.69,porcentaje,anual,SBS
2025-07-29,Moneda Nacional (TAMN),14.9,porcentaje,anual,SBS
2025-07-29,Moneda Nacional (TAMN+1),15.9,porcentaje,anual,SBS
2025-07-29,Moneda Nacional (TAMN+2),16.9,porcentaje,anual,SBS
2025-07-29,Moneda Extranjera (TAMEX),9.69,porcentaje,anual,SBS
2025-07-30,Moneda Nacional (TAMN),14.9,porcentaje,anual,SBS
2025-07-30,Moneda Nacional (TAMN+1),15.9,porcentaje,anual,SBS
2025-07-30,Moneda Nacional (TAMN+2),16.9,porcentaje,anual,SBS
2025-07-30,Moneda Extranjera (TAMEX),9.69,porcentaje,anual,SBS
2025-07-31,Moneda Nacional (TAMN),14.9,porcentaje,anual,SBS
2025-07-31,Moneda Nacional (TAMN+1),15.9,porcentaje,anual,SBS
2025-07-31,Moneda Nacional (TAMN+2),16.9,porcentaje,anual,SBS
2025-07-31,Moneda Extranjera (TAMEX),9.69,porcentaje,anual,SBS
2025-08-01,Moneda Nacional (TAMN),15.02,porcentaje,anual,SBS
2025-08-01,Moneda Nacional (TAMN+1),16.02,porcentaje,anual,SBS
2025-08-01,Moneda Nacional (TAMN+2),17.02,porcentaje,anual,SBS
2025-08-01,Moneda Extranjera (TAMEX),9.75,porcentaje,anual,SBS
2025-08-02,Moneda Nacional (TAMN),15.12,porcentaje,anual,SBS
2025-08-02,Moneda Nacional (TAMN+1),16.12,porcentaje,anual,SBS
2025-08-02,Moneda Nacional (TAMN+2),17.12,porcentaje,anual,SBS
2025-08-02,Moneda Extranjera (TAMEX),9.82,porcentaje,anual,SBS
2025-08-03,Moneda Nacional (TAMN),15.12,porcentaje,anual,SBS
2025-08-03,Moneda Nacional (TAMN+1),16.12,porcentaje,anual,SBS
2025-08-03,Moneda Nacional (TAMN+2),17.12,porcentaje,anual,SBS
2025-08-03,Moneda Extranjera (TAMEX),9.82,porcentaje,anual,SBS
2025-08-04,Moneda Nacional (TAMN),15.12,porcentaje,anual,SBS
2025-08-04,Moneda Nacional (TAMN+1),16.12,porcentaje,anual,SBS
2025-08-04,Moneda Nacional (TAMN+2),17.12,porcentaje,anual,SBS
2025-08-04,Moneda Extranjera (TAMEX),9.82,porcentaje,anual,SBS
2025-08-05,Moneda Nacional (TAMN),15.09,porcentaje,anual,SBS
2025-08-05,Moneda Nacional (TAMN+1),16.09,porcentaje,anual,SBS
2025-08-05,Moneda Nacional (TAMN+2),17.09,porcentaje,anual,SBS
2025-08-05,Moneda Extranjera (TAMEX),9.76,porcentaje,anual,SBS
2025-08-06,Moneda Nacional (TAMN),15.1,porcentaje,anual,SBS
2025-08-06,Moneda Nacional (TAMN+1),16.1,porcentaje,anual,SBS
2025-08-06,Moneda Nacional (TAMN+2),17.1,porcentaje,anual,SBS
2025-08-06,Moneda Extranjera (TAMEX),9.79,porcentaje,anual,SBS
2025-08-07,Moneda Nacional (TAMN),15.1,porcentaje,anual,SBS
2025-08-07,Moneda Nacional (TAMN+1),16.1,porcentaje,anual,SBS
2025-08-07,Moneda Nacional (TAMN+2),17.1,porcentaje,anual,SBS
2025-08-07,Moneda Extranjera (TAMEX),9.79,porcentaje,anual,SBS
2025-08-08,Moneda Nacional (TAMN),14.98,porcentaje,anual,SBS
2025-08-08,Moneda Nacional (TAMN+1),15.98,porcentaje,anual,SBS
2025-08-08,Moneda Nacional (TAMN+2),16.98,porcentaje,anual,SBS
2025-08-08,Moneda Extranjera (TAMEX),9.76,porcentaje,anual,SBS
2025-08-09,Moneda Nacional (TAMN),14.99,porcentaje,anual,SBS
2025-08-09,Moneda Nacional (TAMN+1),15.99,porcentaje,anual,SBS
2025-08-09,Moneda Nacional (TAMN+2),16.99,porcentaje,anual,SBS
2025-08-09,Moneda Extranjera (TAMEX),9.75,porcentaje,anual,SBS
2025-08-10,Moneda Nacional (TAMN),14.99,porcentaje,anual,SBS
2025-08-10,Moneda Nacional (TAMN+1),15.99,porcentaje,anual,SBS
2025-08-10,Moneda Nacional (TAMN+2),16.99,porcentaje,anual,SBS
2025-08-10,Moneda Extranjera (TAMEX),9.75,porcentaje,anual,SBS
2025-08-11,Moneda Nacional (TAMN),14.99,porcentaje,anual,SBS
2025-08-11,Moneda Nacional (TAMN+1),15.99,porcentaje,anual,SBS
2025-08-11,Moneda Nacional (TAMN+2),16.99,porcentaje,anual,SBS
2025-08-11,Moneda Extranjera (TAMEX),9.75,porcentaje,anual,SBS
2025-08-12,Moneda Nacional (TAMN),15.04,porcentaje,anual,SBS
2025-08-12,Moneda Nacional (TAMN+1),16.04,porcentaje,anual,SBS
2025-08-12,Moneda Nacional (TAMN+2),17.04,porcentaje,anual,SBS
2025-08-12,Moneda Extranjera (TAMEX),9.78,porcentaje,anual,SBS
2025-08-13,Moneda Nacional (TAMN),15.14,porcentaje,anual,SBS
2025-08-13,Moneda Nacional (TAMN+1),16.14,porcentaje,anual,SBS
2025-08-13,Moneda Nacional (TAMN+2),17.14,porcentaje,anual,SBS
2025-08-13,Moneda Extranjera (TAMEX),9.85,porcentaje,anual,SBS
2025-08-14,Moneda Nacional (TAMN),15.15,porcentaje,anual,SBS
2025-08-14,Moneda Nacional (TAMN+1),16.15,porcentaje,anual,SBS
2025-08-14,Moneda Nacional (TAMN+2),17.15,porcentaje,anual,SBS
2025-08-14,Moneda Extranjera (TAMEX),9.84,porcentaje,anual,SBS
2025-08-15,Moneda Nacional (TAMN),16.34,porcentaje,anual,SBS
2025-08-15,Moneda Nacional (TAMN+1),17.34,porcentaje,anual,SBS
2025-08-15,Moneda Nacional (TAMN+2),18.34,porcentaje,anual,SBS
2025-08-15,Moneda Extranjera (TAMEX),9.78,porcentaje,anual,SBS
2025-08-16,Moneda Nacional (TAMN),15.22,porcentaje,anual,SBS
2025-08-16,Moneda Nacional (TAMN+1),16.22,porcentaje,anual,SBS
2025-08-16,Moneda Nacional (TAMN+2),17.22,porcentaje,anual,SBS
2025-08-16,Moneda Extranjera (TAMEX),9.77,porcentaje,anual,SBS
2025-08-17,Moneda Nacional (TAMN),15.22,porcentaje,anual,SBS
2025-08-17,Moneda Nacional (TAMN+1),16.22,porcentaje,anual,SBS
2025-08-17,Moneda Nacional (TAMN+2),17.22,porcentaje,anual,SBS
2025-08-17,Moneda Extranjera (TAMEX),9.77,porcentaje,anual,SBS
2025-08-18,Moneda Nacional (TAMN),15.22,porcentaje,anual,SBS
2025-08-18,Moneda Nacional (TAMN+1),16.22,porcentaje,anual,SBS
2025-08-18,Moneda Nacional (TAMN+2),17.22,porcentaje,anual,SBS
2025-08-18,Moneda Extranjera (TAMEX),9.77,porcentaje,anual,SBS
2025-08-19,Moneda Nacional (TAMN),15.21,porcentaje,anual,SBS
2025-08-19,Moneda Nacional (TAMN+1),16.21,porcentaje,anual,SBS
2025-08-19,Moneda Nacional (TAMN+2),17.21,porcentaje,anual,SBS
2025-08-19,Moneda Extranjera (TAMEX),9.77,porcentaje,anual,SBS
2025-08-20,Moneda Nacional (TAMN),15.21,porcentaje,anual,SBS
2025-08-20,Moneda Nacional (TAMN+1),16.21,porcentaje,anual,SBS
2025-08-20,Moneda Nacional (TAMN+2),17.21,porcentaje,anual,SBS
2025-08-20,Moneda Extranjera (TAMEX),9.79,porcentaje,anual,SBS
2025-08-21,Moneda Nacional (TAMN),15.2,porcentaje,anual,SBS
2025-08-21,Moneda Nacional (TAMN+1),16.2,porcentaje,anual,SBS
2025-08-21,Moneda Nacional (TAMN+2),17.2,porcentaje,anual,SBS
2025-08-21,Moneda Extranjera (TAMEX),9.72,porcentaje,anual,SBS
2025-08-22,Moneda Nacional (TAMN),15.1,porcentaje,anual,SBS
2025-08-22,Moneda Nacional (TAMN+1),16.1,porcentaje,anual,SBS
2025-08-22,Moneda Nacional (TAMN+2),17.1,porcentaje,anual,SBS
2025-08-22,Moneda Extranjera (TAMEX),9.61,porcentaje,anual,SBS
2025-08-23,Moneda Nacional (TAMN),15.1,porcentaje,anual,SBS
2025-08-23,Moneda Nacional (TAMN+1),16.1,porcentaje,anual,SBS
2025-08-23,Moneda Nacional (TAMN+2),17.1,porcentaje,anual,SBS
2025-08-23,Moneda Extranjera (TAMEX),9.62,porcentaje,anual,SBS
2025-08-24,Moneda Nacional (TAMN),15.1,porcentaje,anual,SBS
2025-08-24,Moneda Nacional (TAMN+1),16.1,porcentaje,anual,SBS
2025-08-24,Moneda Nacional (TAMN+2),17.1,porcentaje,anual,SBS
2025-08-24,Moneda Extranjera (TAMEX),9.62,porcentaje,anual,SBS
2025-08-25,Moneda Nacional (TAMN),15.1,porcentaje,anual,SBS
2025-08-25,Moneda Nacional (TAMN+1),16.1,porcentaje,anual,SBS
2025-08-25,Moneda Nacional (TAMN+2),17.1,porcentaje,anual,SBS
2025-08-25,Moneda Extranjera (TAMEX),9.62,porcentaje,anual,SBS
2025-08-26,Moneda Nacional (TAMN),15.13,porcentaje,anual,SBS
2025-08-26,Moneda Nacional (TAMN+1),16.13,porcentaje,anual,SBS
2025-08-26,Moneda Nacional (TAMN+2),17.13,porcentaje,anual,SBS
2025-08-26,Moneda Extranjera (TAMEX),9.67,porcentaje,anual,SBS
2025-08-27,Moneda Nacional (TAMN),15.25,porcentaje,anual,SBS
2025-08-27,Moneda Nacional (TAMN+1),16.25,porcentaje,anual,SBS
2025-08-27,Moneda Nacional (TAMN+2),17.25,porcentaje,anual,SBS
2025-08-27,Moneda Extranjera (TAMEX),9.71,porcentaje,anual,SBS
2025-08-28,Moneda Nacional (TAMN),15.29,porcentaje,anual,SBS
2025-08-28,Moneda Nacional (TAMN+1),16.29,porcentaje,anual,SBS
2025-08-28,Moneda Nacional (TAMN+2),17.29,porcentaje,anual,SBS
2025-08-28,Moneda Extranjera (TAMEX),9.7,porcentaje,anual,SBS
2025-08-29,Moneda Nacional (TAMN),15.3,porcentaje,anual,SBS
2025-08-29,Moneda Nacional (TAMN+1),16.3,porcentaje,anual,SBS
2025-08-29,Moneda Nacional (TAMN+2),17.3,porcentaje,anual,SBS
2025-08-29,Moneda Extranjera (TAMEX),9.71,porcentaje,anual,SBS
2025-08-30,Moneda Nacional (TAMN),15.33,porcentaje,anual,SBS
2025-08-30,Moneda Nacional (TAMN+1),16.33,porcentaje,anual,SBS
2025-08-30,Moneda Nacional (TAMN+2),17.33,porcentaje,anual,SBS
2025-08-30,Moneda Extranjera (TAMEX),9.7,porcentaje,anual,SBS
2025-08-31,Moneda Nacional (TAMN),15.33,porcentaje,anual,SBS
2025-08-31,Moneda Nacional (TAMN+1),16.33,porcentaje,anual,SBS
2025-08-31,Moneda Nacional (TAMN+2),17.33,porcentaje,anual,SBS
2025-08-31,Moneda Extranjera (TAMEX),9.7,porcentaje,anual,SBS
2025-09-01,Moneda Nacional (TAMN),15.33,porcentaje,anual,SBS
2025-09-01,Moneda Nacional (TAMN+1),16.33,porcentaje,anual,SBS
2025-09-01,Moneda Nacional (TAMN+2),17.33,porcentaje,anual,SBS
2025-09-01,Moneda Extranjera (TAMEX),9.7,porcentaje,anual,SBS
2025-09-02,Moneda Nacional (TAMN),15.32,porcentaje,anual,SBS
2025-09-02,Moneda Nacional (TAMN+1),16.32,porcentaje,anual,SBS
2025-09-02,Moneda Nacional (TAMN+2),17.32,porcentaje,anual,SBS
2025-09-02,Moneda Extranjera (TAMEX),9.74,porcentaje,anual,SBS
