Fecha,Indicadores de riesgo para países emergentes: EMBIG - Diferencial de Rendimientos del Índice de Bonos de Mercados Emergentes (EMBIG) - Perú,fecha_carga
Ago16,170,2025-06-09
Sep16,162,2025-06-09
Oct16,147,2025-06-09
Nov16,168,2025-06-09
Dic16,165,2025-06-09
Ene17,157,2025-06-09
Feb17,152,2025-06-09
Mar17,141,2025-06-09
Abr17,149,2025-06-09
May17,141,2025-06-09
Jun17,144,2025-06-09
Jul17,142,2025-06-09
Ago17,155,2025-06-09
Sep17,144,2025-06-09
Oct17,140,2025-06-09
Nov17,139,2025-06-09
Dic17,136,2025-06-09
Ene18,117,2025-06-09
Feb18,132,2025-06-09
Mar18,147,2025-06-09
Abr18,145,2025-06-09
May18,158,2025-06-09
Jun18,163,2025-06-09
Jul18,151,2025-06-09
Ago18,149,2025-06-09
Sep18,140,2025-06-09
Oct18,143,2025-06-09
Nov18,157,2025-06-09
Dic18,165,2025-06-09
Ene19,152,2025-06-09
Feb19,140,2025-06-09
Mar19,136,2025-06-09
Abr19,122,2025-06-09
May19,136,2025-06-09
Jun19,129,2025-06-09
Jul19,116,2025-06-09
Ago19,127,2025-06-09
Sep19,116,2025-06-09
Oct19,127,2025-06-09
Nov19,127,2025-06-09
Dic19,116,2025-06-09
Ene20,114,2025-06-09
Feb20,122,2025-06-09
Mar20,249,2025-06-09
Abr20,278,2025-06-09
May20,222,2025-06-09
Jun20,180,2025-06-09
Jul20,169,2025-06-09
Ago20,146,2025-06-09
Sep20,160,2025-06-09
Oct20,150,2025-06-09
Nov20,147,2025-06-09
Dic20,143,2025-06-09
Ene21,132,2025-06-09
Feb21,138,2025-06-09
Mar21,165,2025-06-09
Abr21,165,2025-06-09
May21,164,2025-06-09
Jun21,169,2025-06-09
Jul21,170,2025-06-09
Ago21,183,2025-06-09
Sep21,174,2025-06-09
Oct21,172,2025-06-09
Nov21,179,2025-06-09
Dic21,174,2025-06-09
Ene22,177,2025-06-09
Feb22,198,2025-06-09
Mar22,201,2025-06-09
Abr22,187,2025-06-09
May22,218,2025-06-09
Jun22,214,2025-06-09
Jul22,235,2025-06-09
Ago22,211,2025-06-09
Sep22,225,2025-06-09
Oct22,243,2025-06-09
Nov22,203,2025-06-09
Dic22,196,2025-06-09
Ene23,207,2025-06-09
Feb23,192,2025-06-09
Mar23,204,2025-06-09
Abr23,202,2025-06-09
May23,197,2025-06-09
Jun23,181,2025-06-09
Jul23,169,2025-06-09
Ago23,167,2025-06-09
Sep23,169,2025-06-09
Oct23,180,2025-06-09
Nov23,175,2025-06-09
Dic23,162,2025-06-09
Ene24,170,2025-06-09
Feb24,160,2025-06-09
Mar24,153,2025-06-09
Abr24,154,2025-06-09
May24,156,2025-06-09
Jun24,161,2025-06-09
Jul24,159,2025-06-09
Ago24,170,2025-06-09
Sep24,163,2025-06-09
Oct24,154,2025-06-09
Nov24,155,2025-06-09
Dic24,154,2025-06-09
Ene25,157,2025-06-09
Feb25,158,2025-06-09
Mar25,163,2025-06-09
Abr25,178,2025-06-09
May25,159,2025-06-09
Ago06,173,2025-06-10
Sep06,172,2025-06-10
Oct06,148,2025-06-10
Nov06,147,2025-06-10
Dic06,131,2025-06-10
Ene07,122,2025-06-10
Feb07,127,2025-06-10
Mar07,132,2025-06-10
Abr07,118,2025-06-10
May07,110,2025-06-10
Jun07,104,2025-06-10
Jul07,129,2025-06-10
Ago07,169,2025-06-10
Sep07,156,2025-06-10
Oct07,138,2025-06-10
Nov07,175,2025-06-10
Dic07,174,2025-06-10
Ene08,195,2025-06-10
Feb08,209,2025-06-10
Mar08,222,2025-06-10
Abr08,182,2025-06-10
May08,154,2025-06-10
Jun08,160,2025-06-10
Jul08,198,2025-06-10
Ago08,195,2025-06-10
Sep08,255,2025-06-10
Oct08,500,2025-06-10
Nov08,484,2025-06-10
Dic08,523,2025-06-10
Ene09,463,2025-06-10
Feb09,419,2025-06-10
Mar09,409,2025-06-10
Abr09,360,2025-06-10
May09,292,2025-06-10
Jun09,258,2025-06-10
Jul09,274,2025-06-10
Ago09,240,2025-06-10
Sep09,226,2025-06-10
Oct09,195,2025-06-10
Nov09,190,2025-06-10
Dic09,179,2025-06-10
Ene10,178,2025-06-10
Feb10,200,2025-06-10
Mar10,158,2025-06-10
Abr10,144,2025-06-10
May10,202,2025-06-10
Jun10,207,2025-06-10
Jul10,187,2025-06-10
Ago10,157,2025-06-10
Sep10,167,2025-06-10
Oct10,157,2025-06-10
Nov10,152,2025-06-10
Dic10,157,2025-06-10
Ene11,146,2025-06-10
Feb11,146,2025-06-10
Mar11,157,2025-06-10
Abr11,193,2025-06-10
May11,187,2025-06-10
Jun11,192,2025-06-10
Jul11,171,2025-06-10
Ago11,200,2025-06-10
Sep11,237,2025-06-10
Oct11,232,2025-06-10
Nov11,214,2025-06-10
Dic11,216,2025-06-10
Ene12,219,2025-06-10
Feb12,199,2025-06-10
Mar12,166,2025-06-10
Abr12,164,2025-06-10
May12,181,2025-06-10
Jun12,188,2025-06-10
Jul12,163,2025-06-10
Ago12,133,2025-06-10
Sep12,124,2025-06-10
Oct12,108,2025-06-10
Nov12,123,2025-06-10
Dic12,117,2025-06-10
Ene13,110,2025-06-10
Feb13,127,2025-06-10
Mar13,140,2025-06-10
Abr13,133,2025-06-10
May13,134,2025-06-10
Jun13,180,2025-06-10
Jul13,176,2025-06-10
Ago13,191,2025-06-10
Sep13,183,2025-06-10
Oct13,173,2025-06-10
Nov13,183,2025-06-10
Dic13,177,2025-06-10
Ene14,176,2025-06-10
Feb14,182,2025-06-10
Mar14,167,2025-06-10
Abr14,154,2025-06-10
May14,149,2025-06-10
Jun14,145,2025-06-10
Jul14,146,2025-06-10
Ago14,157,2025-06-10
Sep14,150,2025-06-10
Oct14,170,2025-06-10
Nov14,165,2025-06-10
Dic14,182,2025-06-10
Ene15,201,2025-06-10
Feb15,183,2025-06-10
Mar15,184,2025-06-10
Abr15,177,2025-06-10
May15,166,2025-06-10
Jun15,177,2025-06-10
Jul15,187,2025-06-10
Ago15,217,2025-06-10
Sep15,234,2025-06-10
Oct15,226,2025-06-10
Nov15,219,2025-06-10
Dic15,237,2025-06-10
Ene16,267,2025-06-10
Feb16,282,2025-06-10
Mar16,227,2025-06-10
Abr16,210,2025-06-10
May16,208,2025-06-10
Jun16,210,2025-06-10
Jul16,184,2025-06-10
Ago16,170,2025-06-10
Sep16,162,2025-06-10
Oct16,147,2025-06-10
Nov16,168,2025-06-10
Dic16,165,2025-06-10
Ene17,157,2025-06-10
Feb17,152,2025-06-10
Mar17,141,2025-06-10
Abr17,149,2025-06-10
May17,141,2025-06-10
Jun17,144,2025-06-10
Jul17,142,2025-06-10
Ago17,155,2025-06-10
Sep17,144,2025-06-10
Oct17,140,2025-06-10
Nov17,139,2025-06-10
Dic17,136,2025-06-10
Ene18,117,2025-06-10
Feb18,132,2025-06-10
Mar18,147,2025-06-10
Abr18,145,2025-06-10
May18,158,2025-06-10
Jun18,163,2025-06-10
Jul18,151,2025-06-10
Ago18,149,2025-06-10
Sep18,140,2025-06-10
Oct18,143,2025-06-10
Nov18,157,2025-06-10
Dic18,165,2025-06-10
Ene19,152,2025-06-10
Feb19,140,2025-06-10
Mar19,136,2025-06-10
Abr19,122,2025-06-10
May19,136,2025-06-10
Jun19,129,2025-06-10
Jul19,116,2025-06-10
Ago19,127,2025-06-10
Sep19,116,2025-06-10
Oct19,127,2025-06-10
Nov19,127,2025-06-10
Dic19,116,2025-06-10
Ene20,114,2025-06-10
Feb20,122,2025-06-10
Mar20,249,2025-06-10
Abr20,278,2025-06-10
May20,222,2025-06-10
Jun20,180,2025-06-10
Jul20,169,2025-06-10
Ago20,146,2025-06-10
Sep20,160,2025-06-10
Oct20,150,2025-06-10
Nov20,147,2025-06-10
Dic20,143,2025-06-10
Ene21,132,2025-06-10
Feb21,138,2025-06-10
Mar21,165,2025-06-10
Abr21,165,2025-06-10
May21,164,2025-06-10
Jun21,169,2025-06-10
Jul21,170,2025-06-10
Ago21,183,2025-06-10
Sep21,174,2025-06-10
Oct21,172,2025-06-10
Nov21,179,2025-06-10
Dic21,174,2025-06-10
Ene22,177,2025-06-10
Feb22,198,2025-06-10
Mar22,201,2025-06-10
Abr22,187,2025-06-10
May22,218,2025-06-10
Jun22,214,2025-06-10
Jul22,235,2025-06-10
Ago22,211,2025-06-10
Sep22,225,2025-06-10
Oct22,243,2025-06-10
Nov22,203,2025-06-10
Dic22,196,2025-06-10
Ene23,207,2025-06-10
Feb23,192,2025-06-10
Mar23,204,2025-06-10
Abr23,202,2025-06-10
May23,197,2025-06-10
Jun23,181,2025-06-10
Jul23,169,2025-06-10
Ago23,167,2025-06-10
Sep23,169,2025-06-10
Oct23,180,2025-06-10
Nov23,175,2025-06-10
Dic23,162,2025-06-10
Ene24,170,2025-06-10
Feb24,160,2025-06-10
Mar24,153,2025-06-10
Abr24,154,2025-06-10
May24,156,2025-06-10
Jun24,161,2025-06-10
Jul24,159,2025-06-10
Ago24,170,2025-06-10
Sep24,163,2025-06-10
Oct24,154,2025-06-10
Nov24,155,2025-06-10
Dic24,154,2025-06-10
Ene25,157,2025-06-10
Feb25,158,2025-06-10
Mar25,163,2025-06-10
Abr25,178,2025-06-10
May25,159,2025-06-10
Ago06,173,2025-06-11
Sep06,172,2025-06-11
Oct06,148,2025-06-11
Nov06,147,2025-06-11
Dic06,131,2025-06-11
Ene07,122,2025-06-11
Feb07,127,2025-06-11
Mar07,132,2025-06-11
Abr07,118,2025-06-11
May07,110,2025-06-11
Jun07,104,2025-06-11
Jul07,129,2025-06-11
Ago07,169,2025-06-11
Sep07,156,2025-06-11
Oct07,138,2025-06-11
Nov07,175,2025-06-11
Dic07,174,2025-06-11
Ene08,195,2025-06-11
Feb08,209,2025-06-11
Mar08,222,2025-06-11
Abr08,182,2025-06-11
May08,154,2025-06-11
Jun08,160,2025-06-11
Jul08,198,2025-06-11
Ago08,195,2025-06-11
Sep08,255,2025-06-11
Oct08,500,2025-06-11
Nov08,484,2025-06-11
Dic08,523,2025-06-11
Ene09,463,2025-06-11
Feb09,419,2025-06-11
Mar09,409,2025-06-11
Abr09,360,2025-06-11
May09,292,2025-06-11
Jun09,258,2025-06-11
Jul09,274,2025-06-11
Ago09,240,2025-06-11
Sep09,226,2025-06-11
Oct09,195,2025-06-11
Nov09,190,2025-06-11
Dic09,179,2025-06-11
Ene10,178,2025-06-11
Feb10,200,2025-06-11
Mar10,158,2025-06-11
Abr10,144,2025-06-11
May10,202,2025-06-11
Jun10,207,2025-06-11
Jul10,187,2025-06-11
Ago10,157,2025-06-11
Sep10,167,2025-06-11
Oct10,157,2025-06-11
Nov10,152,2025-06-11
Dic10,157,2025-06-11
Ene11,146,2025-06-11
Feb11,146,2025-06-11
Mar11,157,2025-06-11
Abr11,193,2025-06-11
May11,187,2025-06-11
Jun11,192,2025-06-11
Jul11,171,2025-06-11
Ago11,200,2025-06-11
Sep11,237,2025-06-11
Oct11,232,2025-06-11
Nov11,214,2025-06-11
Dic11,216,2025-06-11
Ene12,219,2025-06-11
Feb12,199,2025-06-11
Mar12,166,2025-06-11
Abr12,164,2025-06-11
May12,181,2025-06-11
Jun12,188,2025-06-11
Jul12,163,2025-06-11
Ago12,133,2025-06-11
Sep12,124,2025-06-11
Oct12,108,2025-06-11
Nov12,123,2025-06-11
Dic12,117,2025-06-11
Ene13,110,2025-06-11
Feb13,127,2025-06-11
Mar13,140,2025-06-11
Abr13,133,2025-06-11
May13,134,2025-06-11
Jun13,180,2025-06-11
Jul13,176,2025-06-11
Ago13,191,2025-06-11
Sep13,183,2025-06-11
Oct13,173,2025-06-11
Nov13,183,2025-06-11
Dic13,177,2025-06-11
Ene14,176,2025-06-11
Feb14,182,2025-06-11
Mar14,167,2025-06-11
Abr14,154,2025-06-11
May14,149,2025-06-11
Jun14,145,2025-06-11
Jul14,146,2025-06-11
Ago14,157,2025-06-11
Sep14,150,2025-06-11
Oct14,170,2025-06-11
Nov14,165,2025-06-11
Dic14,182,2025-06-11
Ene15,201,2025-06-11
Feb15,183,2025-06-11
Mar15,184,2025-06-11
Abr15,177,2025-06-11
May15,166,2025-06-11
Jun15,177,2025-06-11
Jul15,187,2025-06-11
Ago15,217,2025-06-11
Sep15,234,2025-06-11
Oct15,226,2025-06-11
Nov15,219,2025-06-11
Dic15,237,2025-06-11
Ene16,267,2025-06-11
Feb16,282,2025-06-11
Mar16,227,2025-06-11
Abr16,210,2025-06-11
May16,208,2025-06-11
Jun16,210,2025-06-11
Jul16,184,2025-06-11
Ago16,170,2025-06-11
Sep16,162,2025-06-11
Oct16,147,2025-06-11
Nov16,168,2025-06-11
Dic16,165,2025-06-11
Ene17,157,2025-06-11
Feb17,152,2025-06-11
Mar17,141,2025-06-11
Abr17,149,2025-06-11
May17,141,2025-06-11
Jun17,144,2025-06-11
Jul17,142,2025-06-11
Ago17,155,2025-06-11
Sep17,144,2025-06-11
Oct17,140,2025-06-11
Nov17,139,2025-06-11
Dic17,136,2025-06-11
Ene18,117,2025-06-11
Feb18,132,2025-06-11
Mar18,147,2025-06-11
Abr18,145,2025-06-11
May18,158,2025-06-11
Jun18,163,2025-06-11
Jul18,151,2025-06-11
Ago18,149,2025-06-11
Sep18,140,2025-06-11
Oct18,143,2025-06-11
Nov18,157,2025-06-11
Dic18,165,2025-06-11
Ene19,152,2025-06-11
Feb19,140,2025-06-11
Mar19,136,2025-06-11
Abr19,122,2025-06-11
May19,136,2025-06-11
Jun19,129,2025-06-11
Jul19,116,2025-06-11
Ago19,127,2025-06-11
Sep19,116,2025-06-11
Oct19,127,2025-06-11
Nov19,127,2025-06-11
Dic19,116,2025-06-11
Ene20,114,2025-06-11
Feb20,122,2025-06-11
Mar20,249,2025-06-11
Abr20,278,2025-06-11
May20,222,2025-06-11
Jun20,180,2025-06-11
Jul20,169,2025-06-11
Ago20,146,2025-06-11
Sep20,160,2025-06-11
Oct20,150,2025-06-11
Nov20,147,2025-06-11
Dic20,143,2025-06-11
Ene21,132,2025-06-11
Feb21,138,2025-06-11
Mar21,165,2025-06-11
Abr21,165,2025-06-11
May21,164,2025-06-11
Jun21,169,2025-06-11
Jul21,170,2025-06-11
Ago21,183,2025-06-11
Sep21,174,2025-06-11
Oct21,172,2025-06-11
Nov21,179,2025-06-11
Dic21,174,2025-06-11
Ene22,177,2025-06-11
Feb22,198,2025-06-11
Mar22,201,2025-06-11
Abr22,187,2025-06-11
May22,218,2025-06-11
Jun22,214,2025-06-11
Jul22,235,2025-06-11
Ago22,211,2025-06-11
Sep22,225,2025-06-11
Oct22,243,2025-06-11
Nov22,203,2025-06-11
Dic22,196,2025-06-11
Ene23,207,2025-06-11
Feb23,192,2025-06-11
Mar23,204,2025-06-11
Abr23,202,2025-06-11
May23,197,2025-06-11
Jun23,181,2025-06-11
Jul23,169,2025-06-11
Ago23,167,2025-06-11
Sep23,169,2025-06-11
Oct23,180,2025-06-11
Nov23,175,2025-06-11
Dic23,162,2025-06-11
Ene24,170,2025-06-11
Feb24,160,2025-06-11
Mar24,153,2025-06-11
Abr24,154,2025-06-11
May24,156,2025-06-11
Jun24,161,2025-06-11
Jul24,159,2025-06-11
Ago24,170,2025-06-11
Sep24,163,2025-06-11
Oct24,154,2025-06-11
Nov24,155,2025-06-11
Dic24,154,2025-06-11
Ene25,157,2025-06-11
Feb25,158,2025-06-11
Mar25,163,2025-06-11
Abr25,178,2025-06-11
May25,159,2025-06-11
